,subject_doc_id,visitor_uuid,also_like_doc
14849,131203225133-5251a815d7ae6e3e659fe602135ab55b,af4d3b5ad78755aa,140224033455-6cc7814512807d0f4f140c16e0294389
14850,131203232302-c0911fce69e455b91d3502ce5b0a76c4,6640a42dd26929e8,131203234648-2a44f04ec248331a544ec8171b732516
14851,131203234648-2a44f04ec248331a544ec8171b732516,6640a42dd26929e8,131203232302-c0911fce69e455b91d3502ce5b0a76c4
14852,131204022636-ab05f3b99c3f4763810a6730ae44008e,1cb836e13f78c577,130708220105-9941aecc251416b7f2d464fb4e003078
14853,131204022636-ab05f3b99c3f4763810a6730ae44008e,1cb836e13f78c577,140313213034-000000009d7564ccc500cc33ee576303
14854,131204025941-82254d79f5670d158e09dca85be3ff26,a1d3acec55125517,140303030059-bc635a1caca722fcb7bfd08cb73b6749
14855,131204045938-000000005ef4a61511c35c3afab23ac8,df278fb938eb81e1,131015010426-4f11c697b4071493460cb325042472e3
14856,131204045938-000000005ef4a61511c35c3afab23ac8,df278fb938eb81e1,131027022104-883d58150fc6695ff8d3eb45e4ae242a
14857,131204045938-000000005ef4a61511c35c3afab23ac8,df278fb938eb81e1,131110222623-97946875272c2dd1d163d9f9eed3c4a6
14858,131204045938-000000005ef4a61511c35c3afab23ac8,df278fb938eb81e1,131215221545-ddbebd19088887c552a20feb80d5ad9b
14859,131204102224-0000000077664efbfee6a8afb2e66416,aae4dae40b126e4a,131021093518-000000009c0a0585e1847757d7130897
14860,131204102224-0000000077664efbfee6a8afb2e66416,aae4dae40b126e4a,140131171357-000000004bfd9f4ebe44b4b48328210a
14861,131204123031-67deba41eb7dbbcd135b5ab3ea4f8d70,983c22383f4511f5,130313161023-ee03f65a89c7406fa097abe281341b42
14862,131204123031-67deba41eb7dbbcd135b5ab3ea4f8d70,983c22383f4511f5,130923090109-f678758893f49ab4581d141f41828db9
14863,131204123031-67deba41eb7dbbcd135b5ab3ea4f8d70,983c22383f4511f5,131010121643-0ccf773f2866311d85277875a8ebba28
14864,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,130322005757-534a1760e55d424baa27e6dfd6e805ad
14865,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,130807052711-668fe15e193f6a6e9e3c90652afe031f
14866,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,130818062547-e7b0e9482e3d7c7401dc2e44a8697c21
14867,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,130921184801-3367aaa8f373ff4c019cc952292115a1
14868,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,131219001011-0dc7224a42359a4e9284744f43568a7b
14869,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,140108155603-981fcf524d2d9c192ea34641a5234c99
14870,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,140120171852-f9bd2fa4165e5a22861999ebde5e427a
14871,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,140204102704-7228d35ccf5debddbcb04cddf90e7c05
14872,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,140204115228-e859f6a4560f5267c84be5cd8442d791
14873,131204125100-012c4e01a4fde8d88ac0c58c86850ab0,ca074d32a26a9d5f,140217142609-2fbb2b7f82dbdcc27d60559a25bf5d39
14874,131204183227-ddb9af38ed8764c190358f00a022b2e3,339c3368e2a43b79,120307120437-4379dc8ec48b46efb8de5df8a88df167
14875,131204183227-ddb9af38ed8764c190358f00a022b2e3,339c3368e2a43b79,140204174219-cd3ec45bf8c97470d35b6ee4fc518441
14876,131204183227-ddb9af38ed8764c190358f00a022b2e3,186cdb26c3b4a3ef,120307120437-4379dc8ec48b46efb8de5df8a88df167
14877,131204183227-ddb9af38ed8764c190358f00a022b2e3,186cdb26c3b4a3ef,140204174219-cd3ec45bf8c97470d35b6ee4fc518441
14878,131204193833-f638218a62078e5fbcb408a496f4b4fc,124abb42f6e17862,130915234837-6c242f76f0aaf7354766530ab63832f3
14879,131204204544-0a5c4a4314d06b2b86ad007746c93f1c,9e52866281e4afe5,131126152218-86caa960d3c2db4b3077c6af125ee5b8
14880,131204235659-4fc5e5ef280e92ffd40627bb3bd16ff0,78ceaf2afda40316,140105191859-d9d7aa532ee7e1c59c017c41d902e299
14881,131205001613-007ba905a01ca4ad8e9fd19b3d8040d8,67984522772c6f9b,111114234358-54af46beaba64d4c9ef6ff7e8e81676a
